id,latitude,longitude,addresses,qv_list,svg_x_whole,svg_y_whole,svg_x_njesia,svg_y_njesia,in_njesia,njesia_name
46,41.33309480066657,19.81890499702362,"Shkolla "" Sami Frashëri ""","1966/00, 1966/01, 1966/02, 1969/00",0.193772,0.206249,0.053737,0.040141,true,Njësia 9
47,41.34816463085902,19.836698717210528,"Rruga "" Niko Avrami "" Kopshti Nr 25","1801/00, 1801/01",0.207136,0.191180,0.067098,0.025071,true,Njësia 4
48,41.30090693267829,19.86492381236657,"Shkolla 9 vjeçare,Farkë e Vogël","2079/00, 2079/01",0.228335,0.238437,0.088293,0.072329,false,
49,41.319831999548335,19.8163724835313,"Çerdhja nr 16,Rr.""Nikolla Tupe""","1816/00, 1816/01",0.191870,0.219512,0.051836,0.053404,true,Njësia 5
50,41.324772156906214,19.803370156548183,"Shkolla 9 vjeçare ""Sabaudin Gabrani"", Rr. ""Muhamet Gjollesha""","1906/00, 1906/01",0.182104,0.214572,0.042072,0.048463,true,Njësia 7
51,41.1807142182885,19.838200760246945,Shkolla 9-Vjeçare Koçaj,2076/00,0.208264,0.358630,0.068226,0.192521,false,
52,41.322441619816274,19.825045714220217,"Shkolla 9 Vjeçare ""Kosova"", Rr. ''Ismail Qemali''","1728/01, 1731/01",0.198384,0.216903,0.058348,0.050794,true,Njësia 2
53,41.32697933797586,19.77118629702335,Yzberisht Shkolla e bashkuar ''Myslym Shima'',"1529/00, 1529/01, 1529/02",0.157932,0.212365,0.017906,0.046256,false,
54,41.339565888098704,19.844689744909804,"Shkolla 9-vjeçare ""Hasan Prishtina"" Rruga ""Qemal Stafa""(Varri I Bamit)","1762/00, 1762/01, 1762/02, 1774/00, 1776/00, 1776/01",0.213138,0.199778,0.073099,0.033670,true,Njësia 3
55,41.33437493913056,19.822003340681217,Çerdhja  Nr 23,"1970/00, 1970/01",0.196099,0.204969,0.056064,0.038861,true,Njësia 9
56,41.312040623750136,19.76938885767417,"Shkollla Lasgush Poradeci""",1865/00,0.156582,0.227304,0.016556,0.061195,true,Njësia 6
57,41.34959089879318,19.844615327742112,"Rruga:""H.Bega"", Stacioni i Pyjeve",1792/00,0.213082,0.189753,0.073043,0.023645,true,Njësia 4
58,41.316825133705066,19.813177660253146,"Shkolla ""Deshmoret e Lirise"",Rr""Zef Jubani""","1828/00, 1828/01, 1828/02, 1829/00, 1829/01, 1829/02, 1830/00, 1830/01",0.189470,0.222519,0.049437,0.056410,true,Njësia 5
59,41.33358677255007,19.865740170040258,"Shkolla e mesme ""Abdulla Keta"" Shkoze","1699/00, 1699/01, 1699/02, 1699/03, 1703/00, 1703/01, 1703/02",0.228949,0.205757,0.088906,0.039649,true,Njësia 1
60,41.223677141057394,19.83603570198673,Shkolla Fillore Rrovë,2073/00,0.206638,0.315667,0.066601,0.149558,false,
61,41.32101853529158,19.804774900990008,"Shkolla ""Vasil Shanto"", Bulevardi ""Bajram Curri""","1839/00, 1840/00, 1840/01, 1841/00, 1841/01, 1842/00, 1842/01",0.183159,0.218326,0.043127,0.052217,true,Njësia 5
62,41.32747134279008,19.802770614763094,"Shkolla ""Naim Frashëri""","1709/00, 1886/00, 1890/00, 1890/01, 1890/02, 1890/03, 1891/00, 1891/01, 1892/00, 1918/00, 1918/01, 1918/02, 1918/03, 1918/04",0.181654,0.211873,0.041622,0.045764,true,Njësia 7
63,41.32818901059106,19.825107373888127,"Shkolla e ''Mesme Ekonomike"" Rr.""Myrtezim Këlliçi""","1733/00, 1734/00, 1734/01, 1747/00",0.198430,0.211155,0.058395,0.045047,true,Njësia 2
64,41.34236009112237,19.832905358663115,"Rruga e "" Dibres"" Fakulteti i Mjekesise","1812/00, 1812/01",0.204287,0.196984,0.064250,0.030875,true,Njësia 4
65,41.33591727689404,19.78837149887641,"Shkolla ""Dhora Leka""","1886/01, 1886/02, 1919/00, 1919/01, 1919/02, 1920/00, 1920/01, 1920/02",0.170839,0.203427,0.030810,0.037318,true,Njësia 7
66,41.334263354754654,19.860344269517373,"Shkolla 9-Vjeçare  ""Androkli Kostallari"" Shkozë","1704/00, 1704/01, 1704/02, 1704/03",0.224896,0.205081,0.084854,0.038972,true,Njësia 1
67,41.32183114879802,19.739184265811357,"Prush, Shkolla 9-vjeçare""Ibrahim Hima""",2116/00,0.133896,0.217513,-0.006125,0.051404,false,
68,41.32097323537548,19.812088582485494,"Shkolla ""Emin Duraku"",Rr ""Gjin Bue Shpata""","1819/00, 1819/01, 1820/00, 1833/01, 1834/00, 1834/01, 1834/02, 1835/00, 1835/01",0.188652,0.218371,0.048619,0.052262,true,Njësia 5
